Data from FLMS031491_15-43-31-366.txt Node	
	
Date: Sun Nov 07 15:43:31 EST 2021	
User: Student	
Spectrometer: FLMS03149	
Trigger mode: 0	
Integration Time (sec): 5.000000E-1	
Scans to average: 1	
Electric dark correction enabled: true	
Nonlinearity correction enabled: false	
Boxcar width: 0	
XAxis mode: Wavelengths	
Number of Pixels in Spectrum: 2048	
>>>>>Begin Spectral Data<<<<<	
642.998	8177.11
643.341	8024.97
643.684	8017.95
644.026	7999.23
644.369	7914.97
644.712	7760.49
645.054	7919.65
645.396	7741.77
645.739	7797.94
646.081	7933.69
646.424	7931.35
646.766	7921.99
647.108	7781.56
647.45	7720.7
647.792	7699.64
648.134	7774.54
648.476	7699.64
648.818	7680.91
649.16	7617.72
649.502	7549.84
649.844	7577.93
650.186	7591.97
650.527	7643.47
650.869	7613.04
651.211	7465.59
651.552	7493.67
651.894	7416.43
652.235	7442.18
652.576	7320.47
652.918	7254.94
653.259	7250.26
653.6	7208.13
653.942	7233.87
654.283	7205.79
654.624	7369.62
654.965	7357.92
655.306	7144.93
655.647	7341.54
655.988	7177.7
656.328	7044.29
656.669	7121.53
657.01	7212.81
657.351	7137.91
657.691	7322.81
658.032	6931.94
658.372	6864.07
658.713	7039.61
659.053	6838.32
659.394	7053.65
659.734	6983.43
660.074	6908.54
660.414	6924.92
660.755	6983.43
661.095	6707.25
661.435	6845.34
661.775	6943.65
662.115	6878.11
662.455	6817.26
662.794	6824.28
663.134	6754.06
663.474	6686.19
663.814	6620.65
664.153	6711.93
664.493	6718.95
664.833	6660.44
665.172	6637.04
665.511	6782.15
665.851	6704.91
666.19	6606.61
666.529	6679.17
666.869	6714.27
667.208	6548.1
667.547	6552.78
667.886	6615.97
668.225	6426.39
668.564	6393.62
668.903	6421.71
669.242	6498.94
669.581	6400.64
669.92	6529.37
670.258	6452.13
670.597	6325.74
670.936	6342.13
671.274	6391.28
671.613	6515.33
671.951	6356.17
672.29	6311.7
672.628	6276.59
672.966	6222.76
673.304	6171.27
673.643	6283.61
673.981	6257.87
674.319	6164.25
674.657	6129.14
674.995	6206.38
675.333	6225.1
675.671	6126.8
676.009	6164.25
676.346	6030.84
676.684	6040.2
677.022	6096.37
677.36	6028.5
677.697	6014.45
678.035	5948.92
678.372	6070.63
678.71	6140.84
679.047	6058.92
679.384	6075.31
679.722	5953.6
680.059	5944.24
680.396	5852.96
680.733	5874.02
681.07	5806.15
681.407	5792.1
681.744	5759.33
682.081	5841.25
682.418	5691.46
682.755	5841.25
683.092	5782.74
683.428	5766.36
683.765	5754.65
684.102	5703.16
684.438	5721.89
684.775	5576.77
685.111	5665.71
685.447	5553.37
685.784	5700.82
686.12	5672.73
686.456	5656.35
686.793	5569.75
687.129	5611.88
687.465	5380.17
687.801	5548.69
688.137	5457.41
688.473	5305.27
688.809	5391.87
689.144	5281.87
689.48	5333.36
689.816	5469.11
690.152	5445.7
690.487	5441.02
690.823	5321.65
691.158	5253.78
691.494	5401.23
691.829	5164.84
692.165	5284.21
692.5	5181.22
692.835	5190.58
693.17	5263.14
693.506	5127.39
693.841	5059.51
694.176	5125.05
694.511	5054.83
694.846	5045.47
695.181	4982.28
695.515	5176.54
695.85	5022.07
696.185	4926.1
696.52	4930.78
696.854	4975.26
697.189	4818.44
697.523	4773.97
697.858	4839.5
698.192	4776.31
698.527	4951.85
698.861	4827.8
699.195	4715.46
699.53	4710.77
699.864	4773.97
700.198	4706.09
700.532	4645.24
700.866	4668.64
701.2	4563.32
701.534	4532.89
701.868	4598.43
702.201	4605.45
702.535	4486.08
702.869	4469.7
703.203	4511.83
703.536	4600.77
703.87	4542.26
704.203	4394.8
704.537	4521.19
704.87	4401.82
705.203	4446.29
705.537	4418.21
705.87	4441.61
706.203	4345.65
706.536	4343.31
706.869	4350.33
707.202	4355.01
707.535	4207.56
707.868	4226.28
708.201	4261.39
708.534	4181.81
708.867	4245.01
709.199	4165.43
709.532	4212.24
709.865	3992.23
710.197	4252.03
710.53	4151.39
710.862	3971.17
711.195	3971.17
711.527	4025
711.859	4015.64
712.191	4039.04
712.524	4062.45
712.856	4095.21
713.188	3971.17
713.52	3797.97
713.852	3936.06
714.184	3807.33
714.516	3861.16
714.847	3893.93
715.179	3910.31
715.511	3804.99
715.843	3797.97
716.174	3861.16
716.506	3723.07
716.837	3671.58
717.169	3776.9
717.5	3779.24
717.832	3800.31
718.163	3727.75
718.494	3730.09
718.825	3631.79
719.156	3648.17
719.488	3746.47
719.819	3702
720.15	3659.87
720.48	3727.75
720.811	3634.13
721.142	3627.11
721.473	3547.53
721.804	3582.64
722.134	3510.08
722.465	3599.02
722.796	3524.12
723.126	3596.68
723.457	3442.2
723.787	3592
724.117	3500.72
724.448	3467.95
724.778	3533.49
725.108	3592
725.438	3446.89
725.768	3460.93
726.098	3458.59
726.428	3369.65
726.758	3381.35
727.088	3379.01
727.418	3484.33
727.748	3271.35
728.078	3259.64
728.407	3350.92
728.737	3367.31
729.066	3369.65
729.396	3360.29
729.725	3304.11
730.055	3311.13
730.384	3245.6
730.714	3367.31
731.043	3226.87
731.372	3273.69
731.701	3226.87
732.03	3198.79
732.359	3147.3
732.688	3091.12
733.017	3180.06
733.346	3208.15
733.675	3226.87
734.004	3210.49
734.332	3173.04
734.661	3133.25
734.99	3100.49
735.318	3217.51
735.647	3123.89
735.975	3123.89
736.304	3161.34
736.632	3065.38
736.96	2997.5
737.289	3072.4
737.617	2931.97
737.945	3081.76
738.273	3159
738.601	3009.21
738.929	3084.1
739.257	3018.57
739.585	3004.52
739.913	3070.06
740.241	2953.03
740.568	2920.26
740.896	2882.82
741.224	2922.61
741.551	2894.52
741.879	2934.31
742.206	2927.29
742.534	2913.24
742.861	2906.22
743.188	2967.08
743.516	2924.95
743.843	2917.92
744.17	2892.18
744.497	2901.54
744.824	2885.16
745.151	2887.5
745.478	2931.97
745.805	2857.07
746.132	2791.54
746.459	2718.98
746.785	2845.37
747.112	2817.28
747.439	2821.96
747.765	2831.32
748.092	2803.24
748.418	2894.52
748.745	2833.66
749.071	2826.64
749.397	2742.38
749.723	2737.7
750.05	2709.62
750.376	2754.09
750.702	2651.1
751.028	2721.32
751.354	2672.17
